0.820051	0.571699	0.483252	1.875001	0.828254	0.343525		2.578224
0.289181	0.80187	0.630949	1.721999	0.24445	-1.16993		4.36948
0.652963	0.475954	0.625848	1.754765	0.928027	-0.1088		2.690304
0.777972	0.455849	0.460767	1.694589	0.875044	0.408944		2.105191
0.223831	0.303012	0.220769	0.747612	0.185743	-0.1865		1.495984
0.954192	0.521094	0.079162	1.554448	0.528092	1.268547		1.312257
0.293984	0.024199	0.788004	1.106186	1.215389	-0.61824		1.61522
0.71153	0.642877	0.983139	2.337545	1.24842	-0.69452		4.121196
0.963807	0.138054	0.279888	1.381749	1.161618	1.369728		0.232152
0.787092	0.809087	0.677945	2.274124	0.791539	-0.25182		4.008528
